customer_name,date_signed,item,commitment_period
Acme Corp,2024-01-15,Google Cloud Platform,24
Bayze,2024-02-01,Google Workspace Business Plus,12
Hybrid Tech Solutions,2024-03-10,Google Workspace Enterprise,36
TechVentures Inc,2024-01-20,Gemini for Google Workspace,12
Global Systems Ltd,2024-04-05,Google Cloud Platform,18
DataFlow Corp,2024-02-15,Google Workspace Business Starter,24
Nexus Innovations,2024-05-01,Looker,36
CloudFirst Inc,2024-03-22,Google Cloud Platform,12
Pinnacle Group,2024-06-10,Google Workspace Enterprise Plus,24
Summit Analytics,2024-01-30,BigQuery,18
